Time,Parameter 1,Parameter 2,Parameter 3
2025-06-19 17:15:00,36.99,59.56,6.88
2025-06-19 17:30:00,37.02,59.61,6.88
2025-06-19 17:45:00,37.03,60.17,6.88
2025-06-19 18:00:00,37.03,60.44,6.88
2025-06-19 18:15:00,36.98,59.85,6.88
2025-06-19 18:30:00,37.00,60.10,6.88
2025-06-19 18:45:00,37.03,60.03,6.88
2025-06-19 19:00:00,37.10,60.45,6.88
2025-06-19 19:15:00,36.91,59.81,6.88
2025-06-19 19:30:00,37.03,60.35,6.88
2025-06-19 19:45:00,37.04,60.49,6.88
2025-06-19 20:00:00,36.99,59.78,6.88
2025-06-19 20:15:00,36.99,59.48,6.88
2025-06-19 20:30:00,37.05,60.03,6.88
2025-06-19 20:45:00,36.96,60.06,6.88
2025-06-19 21:00:00,37.03,60.21,6.88
2025-06-19 21:15:00,37.05,59.86,6.88
2025-06-19 21:30:00,37.00,59.44,6.88
2025-06-19 21:45:00,36.95,59.96,6.88
2025-06-19 22:00:00,37.06,60.74,6.87
2025-06-19 22:15:00,37.00,60.24,6.87
2025-06-19 22:30:00,36.99,59.24,6.87
2025-06-19 22:45:00,36.94,59.31,6.87
2025-06-19 23:00:00,36.93,60.24,6.87
2025-06-19 23:15:00,37.03,60.49,6.87
2025-06-19 23:30:00,37.08,60.53,6.87
2025-06-19 23:45:00,36.93,59.68,6.87
2025-06-20 00:00:00,36.98,59.86,6.87
2025-06-20 00:15:00,36.96,59.65,6.87
2025-06-20 00:30:00,37.06,59.96,6.87
2025-06-20 00:45:00,37.06,60.44,6.87
2025-06-20 01:00:00,37.02,60.14,6.87
2025-06-20 01:15:00,36.93,59.71,6.87
2025-06-20 01:30:00,37.01,60.22,6.87
2025-06-20 01:45:00,36.94,60.20,6.87
2025-06-20 02:00:00,36.99,60.27,6.87
2025-06-20 02:15:00,36.99,60.04,6.87
2025-06-20 02:30:00,36.94,60.12,6.87
2025-06-20 02:45:00,37.04,59.62,6.87
2025-06-20 03:00:00,37.01,60.13,6.87
2025-06-20 03:15:00,37.02,60.14,6.87
2025-06-20 03:30:00,37.01,60.08,6.87
2025-06-20 03:45:00,37.00,59.97,6.87
2025-06-20 04:00:00,36.98,60.02,6.87
2025-06-20 04:15:00,36.91,59.87,6.87
2025-06-20 04:30:00,36.92,60.01,6.87
2025-06-20 04:45:00,37.02,59.81,6.87
2025-06-20 05:00:00,37.06,60.39,6.87
2025-06-20 05:15:00,36.98,60.09,6.87
2025-06-20 05:30:00,37.09,60.08,6.88
2025-06-20 05:45:00,36.97,60.02,6.88
2025-06-20 06:00:00,36.99,60.52,6.88
2025-06-20 06:15:00,37.04,60.25,6.88
2025-06-20 06:30:00,37.06,59.98,6.88
2025-06-20 06:45:00,36.95,59.61,6.88
2025-06-20 07:00:00,36.98,59.76,6.88
2025-06-20 07:15:00,36.99,59.72,6.88
2025-06-20 07:30:00,37.04,59.61,6.88
2025-06-20 07:45:00,36.99,60.05,6.88
