"","A201-BCP001-BIO0001-TT00026.BIO-BIO-TEM-CTR","A201-BCP001-BIO0001-AIT0024.BIO-DOX-DOX-CTR","A201-BCP001-BIO0001-AIT0022.BIO-PH1-PHZ-CTR",""
"Time","Value | First","Value | First","Value | First",""
"6/19/2025 9:00:00 PM","37.03","60.21","6.88",""
"6/19/2025 9:15:00 PM","37.05","59.86","6.88",""
"6/19/2025 9:30:00 PM","37.00","59.44","6.88",""
"6/19/2025 9:45:00 PM","36.95","59.96","6.88",""
"6/19/2025 10:00:00 PM","37.06","60.74","6.87",""
"6/19/2025 10:15:00 PM","37.00","60.24","6.87",""
"6/19/2025 10:30:00 PM","36.99","59.24","6.87",""
"6/19/2025 10:45:00 PM","36.94","59.31","6.87",""
"6/19/2025 11:00:00 PM","36.93","60.24","6.87",""
"6/19/2025 11:15:00 PM","37.03","60.49","6.87",""
"6/19/2025 11:30:00 PM","37.08","60.53","6.87",""
"6/19/2025 11:45:00 PM","36.93","59.68","6.87",""
"6/20/2025 12:00:00 AM","36.98","59.86","6.87",""
"6/20/2025 12:15:00 AM","36.96","59.65","6.87",""
"6/20/2025 12:30:00 AM","37.06","59.96","6.87",""
"6/20/2025 12:45:00 AM","37.06","60.44","6.87",""
"6/20/2025 1:00:00 AM","37.02","60.14","6.87",""
"6/20/2025 1:15:00 AM","36.93","59.71","6.87",""
"6/20/2025 1:30:00 AM","37.01","60.22","6.87",""
"6/20/2025 1:45:00 AM","36.94","60.20","6.87",""
"6/20/2025 2:00:00 AM","36.99","60.27","6.87",""
"6/20/2025 2:15:00 AM","36.99","60.04","6.87",""
"6/20/2025 2:30:00 AM","36.94","60.12","6.87",""
"6/20/2025 2:45:00 AM","37.04","59.62","6.87",""
"6/20/2025 3:00:00 AM","37.01","60.13","6.87",""
"6/20/2025 3:15:00 AM","37.02","60.14","6.87",""
"6/20/2025 3:30:00 AM","37.01","60.08","6.87",""
"6/20/2025 3:45:00 AM","37.00","59.97","6.87",""
"6/20/2025 4:00:00 AM","36.98","60.02","6.87",""
"6/20/2025 4:15:00 AM","36.91","59.87","6.87",""
"6/20/2025 4:30:00 AM","36.92","60.01","6.87",""
"6/20/2025 4:45:00 AM","37.02","59.81","6.87",""
"6/20/2025 5:00:00 AM","37.06","60.39","6.87",""
"6/20/2025 5:15:00 AM","36.98","60.09","6.87",""
"6/20/2025 5:30:00 AM","37.09","60.08","6.88",""
"6/20/2025 5:45:00 AM","36.97","60.02","6.88",""
"6/20/2025 6:00:00 AM","36.99","60.52","6.88",""
"6/20/2025 6:15:00 AM","37.04","60.25","6.88",""
"6/20/2025 6:30:00 AM","37.06","59.98","6.88",""
"6/20/2025 6:45:00 AM","36.95","59.61","6.88",""
"6/20/2025 7:00:00 AM","36.98","59.76","6.88",""
"6/20/2025 7:15:00 AM","36.99","59.72","6.88",""
"6/20/2025 7:30:00 AM","37.04","59.61","6.88",""
"6/20/2025 7:45:00 AM","36.99","60.05","6.88",""
"6/20/2025 8:00:00 AM","37.01","60.68","6.88",""
